"id,case_setup_id,profile_id,criteria_id,criteria_code,criteria_name,exhibit_number,evidence_item_ids,status,generation_job_id,published_to_client,staff_approved_by,staff_approved_at,regeneration_count,created_at,drive_file_id,drive_url,drive_uploaded_at,document_type"
"47,6,38,EB1A-03,03,Press and media,3,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"48,6,38,EB1A-04,04,Judging others,4,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"49,6,38,EB1A-05,05,Original contributions,5,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"50,6,38,EB1A-06,06,Scholarly articles,6,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"51,6,38,EB1A-07,07,Critical role,7,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"52,6,38,EB1A-08,08,High salary,8,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"53,6,38,EB1A-09,09,Commercial success,9,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"54,6,38,EB1A-10,10,Exhibitions,10,[],not_started,,f,,,0,2026-05-18 02:34:09.123916+00,,,,criteria_exhibit"
"13,2,34,EB1A-05,05,Original contributions,5,[],draft,,f,,,0,2026-05-18 02:33:53.928436+00,1IG4Nl3D0uuGAvKdZxKGN7i8NgdNd3hcn,https://drive.google.com/file/d/1IG4Nl3D0uuGAvKdZxKGN7i8NgdNd3hcn/view?usp=drivesdk,2026-05-18 02:41:56.633+00,criteria_exhibit"
"55,7,51,EB1A-02,02,Membership,1,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"56,7,51,EB1A-03,03,Press and media,2,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"57,7,51,EB1A-04,04,Judging others,3,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"58,7,51,EB1A-01,01,Awards and prizes,4,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"59,7,51,EB1A-05,05,Original contributions,5,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"60,7,51,EB1A-06,06,Scholarly articles,6,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"61,7,51,EB1A-10,10,Artistic exhibitions,7,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"62,7,51,EB1A-07,07,Critical role,8,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"63,7,51,EB1A-08,08,High salary,9,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"64,7,51,EB1A-09,09,Commercial success,10,[],not_started,,f,,,0,2026-05-19 17:06:27.980206+00,,,,criteria_exhibit"
"65,8,52,EB1A-02,02,Membership,1,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"66,8,52,EB1A-03,03,Press and media,2,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"67,8,52,EB1A-04,04,Judging others,3,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"68,8,52,EB1A-01,01,Awards and prizes,4,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"69,8,52,EB1A-05,05,Original contributions,5,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"70,8,52,EB1A-06,06,Scholarly articles,6,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"71,8,52,EB1A-10,10,Artistic exhibitions,7,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"72,8,52,EB1A-07,07,Critical role,8,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"73,8,52,EB1A-08,08,High salary,9,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"74,8,52,EB1A-09,09,Commercial success,10,[],not_started,,f,,,0,2026-05-19 17:44:17.028906+00,,,,criteria_exhibit"
"75,9,53,EB1A-02,02,Membership,1,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"76,9,53,EB1A-03,03,Press and media,2,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"77,9,53,EB1A-04,04,Judging others,3,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"78,9,53,EB1A-01,01,Awards and prizes,4,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"79,9,53,EB1A-05,05,Original contributions,5,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"80,9,53,EB1A-06,06,Scholarly articles,6,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"81,9,53,EB1A-10,10,Artistic exhibitions,7,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"82,9,53,EB1A-07,07,Critical role,8,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"83,9,53,EB1A-08,08,High salary,9,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"84,9,53,EB1A-09,09,Commercial success,10,[],not_started,,f,,,0,2026-05-19 17:49:53.494277+00,,,,criteria_exhibit"
"85,10,54,NIW-04,04,Education and credentials,1,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"86,10,54,NIW-05,05,Track record,2,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"87,10,54,NIW-01,01,Substantial merit and national importance,3,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"88,10,54,NIW-02,02,Well positioned to advance,4,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"89,10,54,NIW-03,03,Balance of factors,5,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"90,10,54,NIW-06,06,Future plan,6,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"91,10,54,NIW-08,08,Balance of factors,7,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"92,10,54,NIW-07,07,Support letters,8,[],not_started,,f,,,0,2026-05-19 17:54:10.116938+00,,,,criteria_exhibit"
"93,11,55,EB1A-02,02,Membership,1,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"94,11,55,EB1A-05,05,Original contributions,2,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"95,11,55,EB1A-03,03,Press and media,3,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"96,11,55,EB1A-04,04,Judging others,4,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"97,11,55,EB1A-06,06,Scholarly articles,5,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"98,11,55,EB1A-10,10,Artistic exhibitions,6,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"99,11,55,EB1A-01,01,Awards and prizes,7,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"100,11,55,EB1A-09,09,Commercial success,8,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"101,11,55,EB1A-07,07,Critical role,9,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
"102,11,55,EB1A-08,08,High salary,10,[],not_started,,f,,,0,2026-06-03 02:32:53.698274+00,,,,criteria_exhibit"
